char,prev_char,next_char,position,word_len,label
u,k,m,5,11,1
m,u,b,6,11,1
b,m,u,7,11,1
u,b,k,8,11,1
k,u,a,9,11,0
a,k,<END>,10,11,0
w,<START>,a,0,15,0
a,w,s,1,15,0
s,a,i,2,15,0
i,s,n,3,15,0
n,i,g,4,15,0
g,n,e,5,15,0
e,g,l,6,15,0
l,e,i,7,15,0
i,l,m,8,15,0
m,i,a,9,15,1
a,m,l,10,15,1
l,a,i,11,15,1
i,l,z,12,15,1
z,i,a,13,15,1
a,z,<END>,14,15,0
m,<START>,k,0,10,0
k,m,u,1,10,1
u,k,m,2,10,1
m,u,b,3,10,1
b,m,u,4,10,1
u,b,k,5,10,1
k,u,e,6,10,0
e,k,n,7,10,0
n,e,i,8,10,0
i,n,<END>,9,10,0
a,<START>,l,0,14,0
l,a,i,1,14,0
i,l,c,2,14,0
c,i,h,3,14,0
h,c,o,4,14,0
o,h,k,5,14,0
k,o,i,6,14,0
i,k,j,7,14,0
j,i,a,8,14,1
a,j,r,9,14,1
r,a,i,10,14,1
i,r,b,11,14,1
b,i,u,12,14,1
u,b,<END>,13,14,0
s,<START>,i,0,8,0
i,s,k,1,8,0
k,i,u,2,8,0
u,k,i,3,8,0
i,u,m,4,8,1
m,i,b,5,8,1
b,m,a,6,8,1
a,b,<END>,7,8,0
v,<START>,u,0,7,1
u,v,t,1,7,1
t,u,i,2,7,1
i,t,a,3,7,0
a,i,n,4,7,0
n,a,a,5,7,0
a,n,<END>,6,7,0
h,<START>,a,0,13,0
a,h,w,1,13,0
w,a,a,2,13,0
a,w,t,3,13,0
t,a,a,4,13,0
a,t,o,5,13,0
o,a,k,6,13,1
k,o,o,7,13,1
o,k,l,8,13,1
l,o,e,9,13,0
e,l,w,10,13,0
w,e,a,11,13,0
a,w,<END>,12,13,0
m,<START>,t,0,14,0
t,m,a,1,14,0
a,t,k,2,14,0
k,a,i,3,14,0
i,k,t,4,14,0
t,i,e,5,14,1
e,t,n,6,14,1
n,e,g,7,14,1
g,n,e,8,14,1
e,g,n,9,14,1
n,e,e,10,14,1
e,n,z,11,14,1
z,e,a,12,14,1
a,z,<END>,13,14,0
u,<START>,n,0,9,0
n,u,a,1,9,0
a,n,j,2,9,0
j,a,a,3,9,1
a,j,r,4,9,1
r,a,i,5,9,1
i,r,b,6,9,1
b,i,u,7,9,1
u,b,<END>,8,9,0
k,<START>,i,0,9,1
i,k,m,1,9,1
m,i,b,2,9,1
b,m,i,3,9,1
i,b,z,4,9,1
z,i,a,5,9,0
a,z,n,6,9,0
n,a,a,7,9,0
a,n,<END>,8,9,0
a,<START>,n,0,12,0
n,a,g,1,12,0
g,n,e,2,12,0
e,g,l,3,12,0
l,e,i,4,12,0
i,l,m,5,12,0
m,i,u,6,12,0
u,m,o,7,12,0
o,u,k,8,12,1
k,o,o,9,12,1
o,k,a,10,12,1
a,o,<END>,11,12,0
w,<START>,a,0,14,0
a,w,t,1,14,0
t,a,a,2,14,0
a,t,k,3,14,0
k,a,u,4,14,0
u,k,p,5,14,0
p,u,o,6,14,0
o,p,m,7,14,0
m,o,s,8,14,0
s,m,i,9,14,1
i,s,k,10,14,1
k,i,i,11,14,1
i,k,a,12,14,1
a,i,<END>,13,14,0
k,<START>,u,0,10,1
u,k,m,1,10,1
m,u,b,2,10,1
b,m,u,3,10,1
u,b,k,4,10,1
k,u,i,5,10,0
i,k,s,6,10,0
s,i,h,7,10,0
h,s,a,8,10,0
a,h,<END>,9,10,0
m,<START>,a,0,6,1
a,m,l,1,6,1
l,a,i,2,6,1
i,l,z,3,6,1
z,i,a,4,6,1
a,z,<END>,5,6,0
w,<START>,a,0,11,0
a,w,s,1,11,0
s,a,i,2,11,0
i,s,n,3,11,0
n,i,g,4,11,0
g,n,e,5,11,0
e,g,a,6,11,0
a,e,n,7,11,1
n,a,z,8,11,1
z,n,a,9,11,1
a,z,<END>,10,11,0
h,<START>,a,0,12,0
a,h,m,1,12,0
m,a,j,2,12,0
j,m,a,3,12,0
a,j,f,4,12,0
f,a,u,5,12,1
u,f,n,6,12,1
n,u,g,7,12,1
g,n,a,8,12,1
a,g,n,9,12,0
n,a,a,10,12,0
a,n,<END>,11,12,0
u,<START>,m,0,9,0
m,u,e,1,9,0
e,m,h,2,9,0
h,e,i,3,9,1
i,h,s,4,9,1
s,i,i,5,9,1
i,s,w,6,9,1
w,i,a,7,9,0
a,w,<END>,8,9,0
a,<START>,l,0,10,0
l,a,i,1,10,0
i,l,p,2,10,0
p,i,o,3,10,0
o,p,i,4,10,0
i,o,n,5,10,1
n,i,g,6,10,1
g,n,i,7,10,1
i,g,a,8,10,1
a,i,<END>,9,10,0
a,<START>,s,0,16,0
s,a,i,1,16,0
i,s,n,2,16,0
n,i,g,3,16,0
g,n,e,4,16,0
e,g,l,5,16,0
l,e,i,6,16,0
i,l,w,7,16,0
w,i,a,8,16,0
a,w,p,9,16,0
p,a,o,10,16,1
o,p,t,11,16,1
t,o,e,12,16,1
e,t,z,13,16,1
z,e,a,14,16,1
a,z,<END>,15,16,0
w,<START>,a,0,8,0
a,w,l,1,8,0
l,a,i,2,8,0
i,l,p,3,8,0
p,i,a,4,8,1
a,p,t,5,8,1
t,a,a,6,8,1
a,t,<END>,7,8,0
a,<START>,n,0,4,1
n,a,z,1,4,1
z,n,a,2,4,1
a,z,<END>,3,4,0
n,<START>,i,0,9,0
i,n,l,1,9,0
l,i,i,2,9,0
i,l,m,3,9,0
m,i,k,4,9,0
k,m,a,5,9,1
a,k,t,6,9,1
t,a,a,7,9,1
a,t,<END>,8,9,0
m,<START>,m,0,14,0
m,m,e,1,14,0
e,m,m,2,14,0
m,e,u,3,14,0
u,m,a,4,14,0
a,u,n,5,14,1
n,a,g,6,14,1
g,n,a,7,14,1
a,g,l,8,14,1
l,a,i,9,14,1
i,l,z,10,14,1
z,i,i,11,14,0
i,z,a,12,14,0
a,i,<END>,13,14,0
k,<START>,a,0,5,1
a,k,e,1,5,1
e,a,n,2,5,0
n,e,i,3,5,0
i,n,<END>,4,5,0
t,<START>,u,0,15,0
u,t,t,1,15,0
t,u,a,2,15,0
a,t,a,3,15,0
a,a,n,4,15,1
n,a,d,5,15,1
d,n,i,6,15,1
i,d,k,7,15,1
k,i,i,8,15,1
i,k,s,9,15,0
s,i,h,10,15,0
h,s,i,11,15,0
i,h,w,12,15,0
w,i,a,13,15,0
a,w,<END>,14,15,0
a,<START>,t,0,13,0
t,a,a,1,13,0
a,t,k,2,13,0
k,a,a,3,13,0
a,k,p,4,13,0
p,a,o,5,13,0
o,p,s,6,13,0
s,o,i,7,13,1
i,s,m,8,13,1
m,i,a,9,13,1
a,m,m,10,13,1
m,a,a,11,13,1
a,m,<END>,12,13,0
s,<START>,i,0,9,0
i,s,k,1,9,0
k,i,u,2,9,0
u,k,f,3,9,0
f,u,u,4,9,1
u,f,n,5,9,1
n,u,g,6,9,1
g,n,a,7,9,1
a,g,<END>,8,9,0
w,<START>,a,0,8,0
a,w,t,1,8,0
t,a,a,2,8,0
a,t,h,3,8,0
h,a,i,4,8,1
i,h,s,5,8,1
s,i,i,6,8,1
i,s,<END>,7,8,1
s,<START>,i,0,9,0
i,s,k,1,9,0
k,i,u,2,9,0
u,k,j,3,9,0
j,u,e,4,9,1
e,j,n,5,9,1
n,e,g,6,9,1
g,n,a,7,9,1
a,g,<END>,8,9,0
w,<START>,a,0,11,0
a,w,l,1,11,0
l,a,i,2,11,0
i,l,a,3,11,0
a,i,n,4,11,1
n,a,z,5,11,1
z,n,i,6,11,1
i,z,s,7,11,0
s,i,h,8,11,0
h,s,a,9,11,0
a,h,<END>,10,11,0
a,<START>,t,0,17,0
t,a,a,1,17,0
a,t,k,2,17,0
k,a,a,3,17,0
a,k,v,4,17,0
v,a,y,5,17,0
y,v,o,6,17,0
o,y,m,7,17,0
m,o,v,8,17,0
v,m,u,9,17,1
u,v,t,10,17,1
t,u,i,11,17,1
i,t,s,12,17,0
s,i,h,13,17,0
h,s,i,14,17,0
i,h,a,15,17,0
a,i,<END>,16,17,0
h,<START>,a,0,16,0
a,h,t,1,16,0
t,a,u,2,16,0
u,t,t,3,16,0
t,u,a,4,16,0
a,t,k,5,16,0
k,a,u,6,16,0
u,k,s,7,16,0
s,u,i,8,16,1
i,s,k,9,16,1
k,i,i,10,16,1
i,k,l,11,16,1
l,i,i,12,16,0
i,l,z,13,16,0
z,i,a,14,16,0
a,z,<END>,15,16,0
m,<START>,t,0,6,0
t,m,u,1,6,1
u,t,m,2,6,1
m,u,i,3,6,1
i,m,e,4,6,0
e,i,<END>,5,6,0
s,<START>,i,0,11,0
i,s,k,1,11,0
k,i,u,2,11,0
u,k,w,3,11,0
w,u,a,4,11,0
a,w,t,5,11,0
t,a,u,6,11,1
u,t,m,7,11,1
m,u,i,8,11,1
i,m,a,9,11,0
a,i,<END>,10,11,0
t,<START>,u,0,16,0
u,t,n,1,16,0
n,u,g,2,16,0
g,n,e,3,16,0
e,g,l,4,16,0
l,e,i,5,16,0
i,l,k,6,16,0
k,i,a,7,16,1
a,k,t,8,16,1
t,a,i,9,16,1
i,t,s,10,16,0
s,i,h,11,16,0
h,s,i,12,16,0
i,h,w,13,16,0
w,i,a,14,16,0
a,w,<END>,15,16,0
t,<START>,u,0,7,1
u,t,m,1,7,1
m,u,i,2,7,1
i,m,a,3,7,0
a,i,n,4,7,0
n,a,a,5,7,0
a,n,<END>,6,7,0
h,<START>,a,0,8,1
a,h,r,1,8,1
r,a,i,2,8,1
i,r,b,3,8,1
b,i,i,4,8,1
i,b,w,5,8,0
w,i,a,6,8,0
a,w,<END>,7,8,0
u,<START>,m,0,9,0
m,u,e,1,9,0
e,m,p,2,9,0
p,e,i,3,9,1
i,p,k,4,9,1
k,i,i,5,9,1
i,k,w,6,9,0
w,i,a,7,9,0
a,w,<END>,8,9,0
l,<START>,a,0,4,1
a,l,l,1,4,1
l,a,a,2,4,1
a,l,<END>,3,4,0
a,<START>,l,0,12,0
l,a,i,1,12,0
i,l,v,2,12,0
v,i,y,3,12,0
y,v,o,4,12,0
o,y,m,5,12,0
m,o,p,6,12,0
p,m,o,7,12,1
o,p,k,8,12,1
k,o,e,9,12,1
e,k,a,10,12,1
a,e,<END>,11,12,0
n,<START>,i,0,14,0
i,n,m,1,14,0
m,i,e,2,14,0
e,m,c,3,14,0
c,e,h,4,14,1
h,c,u,5,14,1
u,h,k,6,14,1
k,u,u,7,14,1
u,k,l,8,14,1
l,u,i,9,14,0
i,l,a,10,14,0
a,i,n,11,14,0
n,a,a,12,14,0
a,n,<END>,13,14,0
a,<START>,l,0,9,0
l,a,i,1,9,0
i,l,w,2,9,0
w,i,a,3,9,0
a,w,p,4,9,0
p,a,a,5,9,1
a,p,t,6,9,1
t,a,a,7,9,1
a,t,<END>,8,9,0
w,<START>,a,0,12,0
a,w,l,1,12,0
l,a,i,2,12,0
i,l,y,3,12,0
y,i,e,4,12,0
e,y,m,5,12,0
m,e,p,6,12,0
p,m,a,7,12,1
a,p,n,8,12,1
n,a,d,9,12,1
d,n,a,10,12,1
a,d,<END>,11,12,0
k,<START>,a,0,4,1
a,k,t,1,4,1
t,a,a,2,4,1
a,t,<END>,3,4,0
s,<START>,i,0,10,0
i,s,j,1,10,0
j,i,a,2,10,0
a,j,m,3,10,0
m,a,l,4,10,0
l,m,e,5,10,1
e,l,t,6,10,1
t,e,e,7,10,1
e,t,a,8,10,0
a,e,<END>,9,10,0
h,<START>,a,0,9,0
a,h,t,1,9,0
t,a,u,2,9,0
u,t,j,3,9,0
j,u,a,4,9,0
a,j,k,5,9,0
k,a,a,6,9,1
a,k,a,7,9,1
a,a,<END>,8,9,0
k,<START>,i,0,8,1
i,k,m,1,8,1
m,i,b,2,8,1
b,m,i,3,8,1
i,b,l,4,8,1
l,i,i,5,8,0
i,l,a,6,8,0
a,i,<END>,7,8,0
a,<START>,m,0,8,0
m,a,e,1,8,0
e,m,o,2,8,0
o,e,k,3,8,1
k,o,o,4,8,1
o,k,k,5,8,1
k,o,a,6,8,0
a,k,<END>,7,8,0
m,<START>,t,0,15,0
t,m,a,1,15,0
a,t,k,2,15,0
k,a,a,3,15,0
a,k,p,4,15,0
p,a,o,5,15,0
o,p,m,6,15,0
m,o,p,7,15,0
p,m,o,8,15,1
o,p,t,9,15,1
t,o,e,10,15,1
e,t,z,11,15,1
z,e,e,12,15,1
e,z,a,13,15,0
a,e,<END>,14,15,0
s,<START>,i,0,13,0
i,s,t,1,13,0
t,i,a,2,13,0
a,t,k,3,13,0
k,a,u,4,13,0
u,k,h,5,13,0
h,u,a,6,13,1
a,h,r,7,13,1
r,a,i,8,13,1
i,r,b,9,13,1
b,i,i,10,13,1
i,b,a,11,13,0
a,i,<END>,12,13,0
a,<START>,m,0,12,0
m,a,e,1,12,0
e,m,m,2,12,0
m,e,f,3,12,0
f,m,u,4,12,1
u,f,n,5,12,1
n,u,g,6,12,1
g,n,i,7,12,1
i,g,s,8,12,0
s,i,h,9,12,0
h,s,a,10,12,0
a,h,<END>,11,12,0
n,<START>,i,0,13,0
i,n,t,1,13,0
t,i,a,2,13,0
a,t,w,3,13,0
w,a,a,4,13,0
a,w,s,5,13,0
s,a,i,6,13,1
i,s,m,7,13,1
m,i,a,8,13,1
a,m,m,9,13,1
m,a,i,10,13,1
i,m,a,11,13,0
a,i,<END>,12,13,0
t,<START>,u,0,9,1
u,t,p,1,9,1
p,u,i,2,9,1
i,p,a,3,9,0
a,i,n,4,9,0
n,a,e,5,9,0
e,n,n,6,9,0
n,e,i,7,9,0
i,n,<END>,8,9,0
h,<START>,a,0,10,0
a,h,k,1,10,0
k,a,u,2,10,0
u,k,w,3,10,0
w,u,a,4,10,0
a,w,p,5,10,0
p,a,a,6,10,1
a,p,t,7,10,1
t,a,a,8,10,1
a,t,<END>,9,10,0
h,<START>,a,0,9,0
a,h,k,1,9,0
k,a,u,2,9,0
u,k,c,3,9,0
c,u,h,4,9,1
h,c,e,5,9,1
e,h,z,6,9,1
z,e,a,7,9,1
a,z,<END>,8,9,0
v,<START>,u,0,5,1
u,v,t,1,5,1
t,u,i,2,5,1
i,t,a,3,5,0
a,i,<END>,4,5,0
a,<START>,l,0,15,0
l,a,i,1,15,0
i,l,p,2,15,0
p,i,o,3,15,0
o,p,t,4,15,0
t,o,e,5,15,1
e,t,n,6,15,1
n,e,g,7,15,1
g,n,e,8,15,1
e,g,n,9,15,1
n,e,e,10,15,1
e,n,z,11,15,1
z,e,w,12,15,1
w,z,a,13,15,0
a,w,<END>,14,15,0
w,<START>,a,0,14,0
a,w,l,1,14,0
l,a,i,2,14,0
i,l,p,3,14,0
p,i,o,4,14,0
o,p,m,5,14,0
m,o,h,6,14,0
h,m,a,7,14,1
a,h,r,8,14,1
r,a,i,9,14,1
i,r,b,10,14,1
b,i,i,11,14,1
i,b,a,12,14,0
a,i,<END>,13,14,0
m,<START>,n,0,10,0
n,m,g,1,10,0
g,n,e,2,10,0
e,g,m,3,10,0
m,e,l,4,10,0
l,m,e,5,10,1
e,l,t,6,10,1
t,e,e,7,10,1
e,t,a,8,10,0
a,e,<END>,9,10,0
m,<START>,k,0,11,0
k,m,u,1,11,1
u,k,m,2,11,1
m,u,b,3,11,1
b,m,u,4,11,1
u,b,s,5,11,1
s,u,h,6,11,0
h,s,e,7,11,0
e,h,n,8,11,0
n,e,i,9,11,0
i,n,<END>,10,11,0
n,<START>,i,0,11,0
i,n,n,1,11,0
n,i,a,2,11,0
a,n,w,3,11,0
w,a,a,4,11,0
a,w,p,5,11,0
p,a,i,6,11,1
i,p,k,7,11,1
k,i,i,8,11,1
i,k,a,9,11,0
a,i,<END>,10,11,0
a,<START>,n,0,10,0
n,a,a,1,10,0
a,n,e,2,10,0
e,a,n,3,10,1
n,e,d,4,10,1
d,n,e,5,10,1
e,d,l,6,10,1
l,e,e,7,10,1
e,l,a,8,10,1
a,e,<END>,9,10,0
a,<START>,m,0,9,0
m,a,e,1,9,0
e,m,v,2,9,0
v,e,u,3,9,1
u,v,l,4,9,1
l,u,i,5,9,0
i,l,w,6,9,0
w,i,a,7,9,0
a,w,<END>,8,9,0
a,<START>,n,0,11,0
n,a,g,1,11,0
g,n,e,2,11,0
e,g,l,3,11,0
l,e,i,4,11,0
i,l,c,5,11,0
c,i,h,6,11,1
h,c,e,7,11,1
e,h,z,8,11,1
z,e,a,9,11,1
a,z,<END>,10,11,0
m,<START>,t,0,17,0
t,m,a,1,17,0
a,t,k,2,17,0
k,a,a,3,17,0
a,k,c,4,17,0
c,a,h,5,17,0
h,c,o,6,17,0
o,h,k,7,17,0
k,o,i,8,17,0
i,k,m,9,17,0
m,i,a,10,17,1
a,m,l,11,17,1
l,a,i,12,17,1
i,l,z,13,17,1
z,i,i,14,17,1
i,z,a,15,17,0
a,i,<END>,16,17,0
u,<START>,l,0,13,0
l,u,i,1,13,0
i,l,p,2,13,0
p,i,o,3,13,0
o,p,k,4,13,0
k,o,i,5,13,0
i,k,p,6,13,0
p,i,o,7,13,1
o,p,t,8,13,1
t,o,e,9,13,1
e,t,z,10,13,1
z,e,a,11,13,1
a,z,<END>,12,13,0
a,<START>,m,0,12,0
m,a,e,1,12,0
e,m,p,2,12,0
p,e,i,3,12,1
i,p,g,4,12,1
g,i,i,5,12,1
i,g,s,6,12,0
s,i,h,7,12,0
h,s,i,8,12,0
i,h,w,9,12,0
w,i,a,10,12,0
a,w,<END>,11,12,0
n,<START>,i,0,8,0
i,n,l,1,8,0
l,i,i,2,8,0
i,l,l,3,8,0
l,i,a,4,8,1
a,l,l,5,8,1
l,a,a,6,8,1
a,l,<END>,7,8,0
m,<START>,h,0,8,0
h,m,a,1,8,1
a,h,r,2,8,1
r,a,i,3,8,1
i,r,b,4,8,1
b,i,i,5,8,1
i,b,e,6,8,0
e,i,<END>,7,8,0
w,<START>,a,0,12,0
a,w,s,1,12,0
s,a,i,2,12,0
i,s,n,3,12,0
n,i,g,4,12,0
g,n,e,5,12,0
e,g,i,6,12,0
i,e,t,7,12,0
t,i,u,8,12,1
u,t,m,9,12,1
m,u,a,10,12,1
a,m,<END>,11,12,0
a,<START>,l,0,13,0
l,a,i,1,13,0
i,l,y,2,13,0
y,i,e,3,13,0
e,y,h,4,13,0
h,e,a,5,13,1
a,h,r,6,13,1
r,a,i,7,13,1
i,r,b,8,13,1
b,i,i,9,13,1
i,b,k,10,13,0
k,i,a,11,13,0
a,k,<END>,12,13,0
p,<START>,a,0,6,1
a,p,n,1,6,1
n,a,d,2,6,1
d,n,i,3,6,1
i,d,a,4,6,0
a,i,<END>,5,6,0
p,<START>,a,0,10,1
a,p,n,1,10,1
n,a,d,2,10,1
d,n,i,3,10,1
i,d,a,4,10,0
a,i,n,5,10,0
n,a,e,6,10,0
e,n,n,7,10,0
n,e,i,8,10,0
i,n,<END>,9,10,0
s,<START>,i,0,6,0
i,s,t,1,6,0
t,i,o,2,6,1
o,t,k,3,6,1
k,o,i,4,6,1
i,k,<END>,5,6,0
m,<START>,t,0,12,0
t,m,a,1,12,0
a,t,m,2,12,0
m,a,u,3,12,0
u,m,a,4,12,0
a,u,n,5,12,1
n,a,g,6,12,1
g,n,a,7,12,1
a,g,l,8,12,1
l,a,i,9,12,1
i,l,a,10,12,1
a,i,<END>,11,12,0
p,<START>,i,0,8,1
i,p,g,1,8,1
g,i,i,2,8,1
i,g,s,3,8,0
s,i,h,4,8,0
h,s,w,5,8,0
w,h,a,6,8,0
a,w,<END>,7,8,0
h,<START>,a,0,10,0
a,h,w,1,10,0
w,a,a,2,10,0
a,w,j,3,10,0
j,a,a,4,10,0
a,j,s,5,10,0
s,a,o,6,10,1
o,s,m,7,10,1
m,o,a,8,10,1
a,m,<END>,9,10,0
w,<START>,a,0,12,0
a,w,m,1,12,0
m,a,e,2,12,0
e,m,o,3,12,0
o,e,n,4,12,1
n,o,d,5,12,1
d,n,o,6,12,1
o,d,l,7,12,1
l,o,e,8,12,0
e,l,w,9,12,0
w,e,a,10,12,0
a,w,<END>,11,12,0
s,<START>,i,0,14,0
i,s,k,1,14,0
k,i,u,2,14,0
u,k,e,3,14,0
e,u,n,4,14,1
n,e,d,5,14,1
d,n,e,6,14,1
e,d,l,7,14,1
l,e,e,8,14,1
e,l,z,9,14,1
z,e,e,10,14,0
e,z,w,11,14,0
w,e,a,12,14,0
a,w,<END>,13,14,0
k,<START>,a,0,7,1
a,k,l,1,7,1
l,a,i,2,7,0
i,l,a,3,7,0
a,i,n,4,7,0
n,a,a,5,7,0
a,n,<END>,6,7,0
a,<START>,l,0,12,0
l,a,i,1,12,0
i,l,c,2,12,0
c,i,h,3,12,1
h,c,u,4,12,1
u,h,k,5,12,1
k,u,u,6,12,1
u,k,l,7,12,1
l,u,i,8,12,0
i,l,w,9,12,0
w,i,a,10,12,0
a,w,<END>,11,12,0
a,<START>,m,0,8,0
m,a,e,1,8,0
e,m,z,2,8,0
z,e,u,3,8,1
u,z,i,4,8,1
i,u,w,5,8,1
w,i,a,6,8,0
a,w,<END>,7,8,0
v,<START>,u,0,6,1
u,v,l,1,6,1
l,u,i,2,6,0
i,l,w,3,6,0
w,i,a,4,6,0
a,w,<END>,5,6,0
t,<START>,e,0,13,1
e,t,n,1,13,1
n,e,g,2,13,1
g,n,e,3,13,1
e,g,n,4,13,1
n,e,e,5,13,1
e,n,z,6,13,1
z,e,a,7,13,1
a,z,n,8,13,0
n,a,e,9,13,0
e,n,n,10,13,0
n,e,i,11,13,0
i,n,<END>,12,13,0
s,<START>,i,0,8,0
i,s,t,1,8,0
t,i,a,2,8,0
a,t,a,3,8,0
a,a,n,4,8,1
n,a,z,5,8,1
z,n,a,6,8,1
a,z,<END>,7,8,0
t,<START>,u,0,13,0
u,t,l,1,13,0
l,u,i,2,13,0
i,l,p,3,13,0
p,i,o,4,13,0
o,p,w,5,13,0
w,o,a,6,13,0
a,w,i,7,13,0
i,a,m,8,13,1
m,i,b,9,13,1
b,m,i,10,13,1
i,b,a,11,13,0
a,i,<END>,12,13,0
j,<START>,i,0,9,1
i,j,b,1,9,1
b,i,i,2,9,1
i,b,a,3,9,0
a,i,n,4,9,0
n,a,e,5,9,0
e,n,n,6,9,0
n,e,i,7,9,0
i,n,<END>,8,9,0
n,<START>,i,0,11,0
i,n,t,1,11,0
t,i,a,2,11,0
a,t,o,3,11,0
o,a,n,4,11,1
n,o,e,5,11,1
e,n,s,6,11,1
s,e,h,7,11,1
h,s,w,8,11,1
w,h,a,9,11,0
a,w,<END>,10,11,0
k,<START>,a,0,6,1
a,k,t,1,6,1
t,a,i,2,6,1
i,t,w,3,6,0
w,i,a,4,6,0
a,w,<END>,5,6,0
m,<START>,s,0,12,0
s,m,i,1,12,0
i,s,p,2,12,0
p,i,o,3,12,0
o,p,o,4,12,0
o,o,n,5,12,1
n,o,d,6,12,1
d,n,o,7,12,1
o,d,k,8,12,1
k,o,e,9,12,0
e,k,a,10,12,0
a,e,<END>,11,12,0
s,<START>,i,0,8,0
i,s,j,1,8,0
j,i,a,2,8,0
a,j,t,3,8,0
t,a,o,4,8,1
o,t,k,5,8,1
k,o,a,6,8,1
a,k,<END>,7,8,0
p,<START>,i,0,4,1
i,p,g,1,4,1
g,i,a,2,4,1
a,g,<END>,3,4,0
m,<START>,u,0,9,0
u,m,a,1,9,0
a,u,n,2,9,1
n,a,d,3,9,1
d,n,i,4,9,1
i,d,k,5,9,1
k,i,i,6,9,1
i,k,e,7,9,0
e,i,<END>,8,9,0
m,<START>,l,0,8,0
l,m,i,1,8,0
i,l,p,2,8,0
p,i,o,3,8,0
o,p,k,4,8,0
k,o,a,5,8,1
a,k,a,6,8,1
a,a,<END>,7,8,0
j,<START>,e,0,8,1
e,j,n,1,8,1
n,e,g,2,8,1
g,n,e,3,8,1
e,g,a,4,8,0
a,e,n,5,8,0
n,a,a,6,8,0
a,n,<END>,7,8,0
n,<START>,i,0,14,0
i,n,l,1,14,0
l,i,i,2,14,0
i,l,y,3,14,0
y,i,e,4,14,0
e,y,k,5,14,0
k,e,i,6,14,0
i,k,m,7,14,0
m,i,a,8,14,1
a,m,l,9,14,1
l,a,i,10,14,1
i,l,z,11,14,1
z,i,a,12,14,1
a,z,<END>,13,14,0
a,<START>,t,0,16,0
t,a,a,1,16,0
a,t,k,2,16,0
k,a,a,3,16,0
a,k,p,4,16,0
p,a,o,5,16,0
o,p,k,6,16,0
k,o,i,7,16,1
i,k,m,8,16,1
m,i,b,9,16,1
b,m,i,10,16,1
i,b,z,11,16,1
z,i,i,12,16,0
i,z,w,13,16,0
w,i,a,14,16,0
a,w,<END>,15,16,0
f,<START>,u,0,12,1
u,f,n,1,12,1
n,u,g,2,12,1
g,n,u,3,12,1
u,g,l,4,12,1
l,u,i,5,12,0
i,l,a,6,12,0
a,i,n,7,12,0
n,a,e,8,12,0
e,n,n,9,12,0
n,e,i,10,12,0
i,n,<END>,11,12,0
m,<START>,v,0,8,0
v,m,u,1,8,1
u,v,t,2,8,1
t,u,i,3,8,1
i,t,s,4,8,0
s,i,h,5,8,0
h,s,e,6,8,0
e,h,<END>,7,8,0
h,<START>,a,0,9,0
a,h,k,1,9,0
k,a,u,2,9,0
u,k,m,3,9,0
m,u,l,4,9,0
l,m,e,5,9,1
e,l,t,6,9,1
t,e,a,7,9,1
a,t,<END>,8,9,0
h,<START>,u,0,10,0
u,h,j,1,10,0
j,u,a,2,10,0
a,j,f,3,10,0
f,a,u,4,10,1
u,f,n,5,10,1
n,u,g,6,10,1
g,n,w,7,10,1
w,g,a,8,10,0
a,w,<END>,9,10,0
r,<START>,u,0,9,1
u,r,d,1,9,1
d,u,i,2,9,1
i,d,s,3,9,1
s,i,h,4,9,1
h,s,a,5,9,1
a,h,n,6,9,0
n,a,a,7,9,0
a,n,<END>,8,9,0
n,<START>,i,0,13,0
i,n,n,1,13,0
n,i,g,2,13,0
g,n,e,3,13,0
e,g,l,4,13,0
l,e,i,5,13,0
i,l,i,6,13,0
i,i,m,7,13,1
m,i,b,8,13,1
b,m,i,9,13,1
i,b,w,10,13,0
w,i,a,11,13,0
a,w,<END>,12,13,0
m,<START>,t,0,7,0
t,m,a,1,7,0
a,t,p,2,7,0
p,a,a,3,7,1
a,p,t,4,7,1
t,a,a,5,7,1
a,t,<END>,6,7,0
h,<START>,a,0,12,0
a,h,w,1,12,0
w,a,a,2,12,0
a,w,t,3,12,0
t,a,a,4,12,0
a,t,m,5,12,0
m,a,v,6,12,0
v,m,u,7,12,1
u,v,t,8,12,1
t,u,i,9,12,1
i,t,a,10,12,0
a,i,<END>,11,12,0
t,<START>,u,0,14,0
u,t,t,1,14,0
t,u,a,2,14,0
a,t,k,3,14,0
k,a,a,4,14,0
a,k,v,5,14,0
v,a,y,6,14,0
y,v,o,7,14,0
o,y,i,8,14,0
i,o,n,9,14,1
n,i,g,10,14,1
g,n,i,11,14,1
i,g,a,12,14,1
a,i,<END>,13,14,0
s,<START>,i,0,9,0
i,s,t,1,9,0
t,i,a,2,9,0
a,t,i,3,9,0
i,a,n,4,9,1
n,i,g,5,9,1
g,n,i,6,9,1
i,g,a,7,9,1
a,i,<END>,8,9,0
k,<START>,u,0,7,1
u,k,m,1,7,1
m,u,b,2,7,1
b,m,u,3,7,1
u,b,k,4,7,1
k,u,a,5,7,0
a,k,<END>,6,7,0
t,<START>,u,0,12,0
u,t,t,1,12,0
t,u,a,2,12,0
a,t,a,3,12,0
a,a,n,4,12,1
n,a,z,5,12,1
z,n,i,6,12,1
i,z,s,7,12,0
s,i,h,8,12,0
h,s,w,9,12,0
w,h,a,10,12,0
a,w,<END>,11,12,0
s,<START>,i,0,7,0
i,s,i,1,7,0
i,i,n,2,7,1
n,i,g,3,7,1
g,n,i,4,7,1
i,g,i,5,7,1
